,id,Star_name,Distance,Mass,Radius,Gravity
76,76.0,II Pegasi,130.0,6.2949797352e+90,1.1448403482762e+27,6.374508743183405e+56
77,77.0,VY Canis Majoris,,1.3376831937299996e+92,,
78,78.0,Pistol Star,,7.868724669e+92,1.0774967983776e+29,8.995278451074239e+54
79,79.0,S Doradus,,1.88849392056e+92,1.2795274480734e+29,1.5309415735013883e+54
80,80.0,UY Scuti,,,2.54221900867215e+29,
81,81.0,Barnard's Star,5.98,1.10162145366e+90,6.73435498986e+25,3.223907796865008e+58
82,82.0,HE 1523-0901,,6.2949797352e+90,9.091379236311e+27,1.0108274495363531e+55
83,83.0,Proxima Centauri,4.25,9.442469602799999e+89,5.050766242395e+25,4.9126214047466773e+58
84,84.0,KIC 8462852,,1.1252276276669995e+91,5.3201404419894e+26,5.276384450199098e+57
85,85.0,R136a1,,2.2819301540099994e+93,1.0774967983776e+28,2.608630750811529e+57
86,86.0,Melnick 42,,1.4871889624409996e+93,7.104744514302301e+27,3.910312459978669e+57
87,87.0,WR 102,,1.49505768711e+92,1.3131992230227e+26,1.150638642630509e+60
88,88.0,VFTS 352,,4.5229429397411984e+92,4.87230583516371e+27,2.5286822814142696e+57
89,89.0,YBP 1194,,7.947411915689998e+90,3.3335057199807e+26,9.492170987898199e+57
90,90.0,Gliese 1214,47.5,1.25899594704e+90,7.071072739353e+25,3.341919322956924e+58
91,91.0,Luhman 16,6.5,,,
92,92.0,NML Cygni,,3.9343623345e+92,,
93,93.0,VB 10,18.72,5.90154350175e+89,3.36717749493e+25,6.908373850425016e+58
94,94.0,WOH G64,,,,
95,95.0,TRAPPIST-1,39.6,7.003164955409999e+89,4.040612993916e+25,5.693011784146542e+58
96,96.0,2MASS J0523-1403,40.3,5.5081072683e+89,2.8957726456397997e+25,8.717976735708516e+58
97,97.0,WISE 0855−0714,7.27,2.3606174007e+88,,
98,98.0,Icarus,,2.59667914077e+92,,
99,99.0,OGLE-TR-109,8450.0,,,
100,100.0,RU Lupi,400.0,,,
101,101.0,CM Draconis,48.0,,2.1549935967552e+28,
102,102.0,BD+20°2457,652.0,,7.212494194140061e+27,
103,103.0,HD 3346,655.58,,2.020306496958e+28,
104,104.0,HD 104304,42.1,,5.7915452912796e+27,
105,105.0,HD 154857,220.0,,6.195606590671199e+27,
106,106.0,Gliese 22 B,326.0,,5.387483991888e+27,
